Year of YearDate	Local Health District	Locality	Bachelor's degree or higher (B23006)	Cost Burdened Households	Home Ownership Rate	Housing units with a mortgage- 30.0% + (DP04)	Housing units without a mortgage - 30.0% + (DP04)	LEP Pop2	LEP Population (S1601)	Less than high school graduate (B23006)	Occupied housing units (DP04)	Occupied rentals - 30.0% + (DP04)	Owner-occupied housing units (DP04)	PopEst Total Population	Population 18-64 (DP05)	Population 65+ (DP05)	Population Under 18 (DP05)	Total Population 25-64 (B23006)	Total Population 5+ (S1601)	Working Age	Working Age Population w/ a Bachelor Degree	Working Age Population w/o a HS Diploma	Voter Turnout	Voter Turnout2	WCRegion	WCRegion_ID	# Unemployed (LMI)	0-17 Poverty Count (SAIPE)	0-17 Poverty Universe (SAIPE)	ACS Year	AHEC_ID	Arrests per 1,000 Residents	Arrests per 1,000 Residents - % of Va. Total	Average earnings per job (dollars) (BEA)	BEA Combined with:	BEA_fips	BEAFIPS	Below poverty level; 18 to 64 years (S1701)	Below poverty level; 65+ (S1701)	Below poverty level; Population for whom poverty status is determined (S1701)	Below poverty level; Under 18 years (S1701)	CBSA Code	Children in Poverty	Civilian noninstitutionalized population (S2701)	COVF_ID	CSB_ID	Education Enrollment (Dept of Ed)	Education Expenditures (Dept of Ed)	Education Spending per Student	Education Spending per Student - % of Va. Total	ERSTypology_ID	FIPS	Fips (2017 Sdoh)	Geography Year Sum	HSARegion_ID	Income maintenance benefits (BEA)	Information	Instructions	Insured: 18-64 (SAHIE)	Insured: Under 65 (SAHIE)	Labor Force (LMI)	LHD Year Sum	LHD_ID	Locality (2017 SDOH)	Locality Year Sum 5yr%	Locality Year Sum Ann%	Locality Year Sum Ann$	Mean income (dollars) per person (S1902)	Measure Selector - 5yr%	Measure Selector - Ann%	Measure Selector - Ann$	Per Capita Income	Per Capita Income - % of Va. Total	Per Capita Income Maintenance Benefits	Per capita income maintenance benefits (BEA)	Per capita personal income (BEA)	Per Job Income	Personal income (thousands of dollars) (BEA)	PlanningDistrict_ID	PlanningDistrict_Label	Population (BEA)	Population 18-64 (S1701)	Population 18-64 (SAHIE)	Population 65 + (S1701)	Population below 200% FPL	Population for whom poverty status is determined (S1701)	Population in Poverty	Population Under 65 (SAHIE)	Poverty Count (SAIPE)	Poverty Universe (SAIPE)	RUCC_2013_Label	SAHIE Population under 18	SAHIE Uninsured Children	State	Total Employment; Number of Jobs (BEA)	Total Group A Offenses (Crime Report)	Total Housing Units (DP05)	Total Population (DP05)	Total population (S1902)	Total Population Estimate (CB)	Total Population; Under 18 years (S1701)	Total Voting Age Citizens (Voting)	Total; All Individuals below: - 200 %+ FPL (S1701)	Unemployment Rate	Uninsured Children	Uninsured population (S2701)	Uninsured Population2	Uninsured: 18-64 (SAHIE)	Uninsured: Under 65 (SAHIE)	Virginia Year Sum	Virginia Year Sum (Values)	Virginia Year Sum Ann%	WIA_ID	WIA_Label	Year	YearDate
2010	Thomas Jefferson	Fluvanna	3562	26%	87%	1730	263	1%	284.892	1793	9128	376	7957	25308	15656	3740	5912	14166	23741	62%	25%	13%	9092	47%	Central	Central	825	540	5841	2006	1	5	0	32785	NA	51065	51065					16820	9%		1	34	3699.5	37106750.69	$10,030	$1	0	51065	51065	4286691.8%	1	10395	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	12005	17423	13078	32.7%	31	Fluvanna	26.0%	9%	$32,785	29407	26%	9%	$32,785	$34,312	72%	$404	404	34312	$32,785	883890	10	Thomas Jefferson	25760		14549				7%	20386	1784	24393	Metro - Counties in metro areas of fewer than 250,000 population	5836	418	Virginia	7427	129	10215	25308	25308	25760		19240		6%	7%		15%	2545	2963	33.8%	$55,577.47	15%	6	Area VI	2010	1/1/2010 12:00:00 AM
2010	Thomas Jefferson	Greene	2119	32%	80%	1349	132	4%	590.765	1791	6709	681	5357	18082	11308	2220	4554	9996	16879	63%	21%	18%	5740	44%	Central	Central	648	607	4556	2006	1	13	1	32788	NA	51079	51079					16820	13%		1	34	2770.52	27431926.76	$9,901	$1	0	51079	51079	4286691.8%	1	10317	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	9114	13272	9655	32.7%	31	Greene	32.2%	13%	$32,788	24969	32%	13%	$32,788	$33,615	72%	$558	558	33615	$32,788	621271	10	Thomas Jefferson	18482		11485				10%	16043	1774	18282	Metro - Counties in metro areas of fewer than 250,000 population	4558	400	Virginia	5628	238	7342	18082	18082	18482		13035		7%	9%		17%	2371	2771	33.8%	$55,577.47	15%	6	Area VI	2010	1/1/2010 12:00:00 AM
2010	Thomas Jefferson	Nelson	2165	26%	78%	930	214	2%	271.966	1519	6534	535	5086	14989	9290	2822	2877	8375	14314	62%	26%	18%	5805	49%	Central	Central	540	592	2831	2006	1	7	0	28677	NA	51125	51125					16820	21%		1	34	1890.98	22119739.12	$11,698	$1	5	51125	51125	4286691.8%	1	10867	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	7217	9782	7574	32.7%	31	Nelson	25.7%	21%	$28,677	26996	26%	21%	$28,677	$36,723	63%	$725	725	36723	$28,677	550552	10	Thomas Jefferson	14992		9181				13%	12023	1956	14906	Metro - Counties in metro areas of fewer than 250,000 population	2842	277	Virginia	6339	104	9784	14989	14989	14992		11895		7%	10%		19%	1964	2241	33.8%	$55,577.47	15%	6	Area VI	2010	1/1/2010 12:00:00 AM
2010	Rappahannock Rapidan	Madison	1667	24%	81%	789	245	1%	125.5	1082	5213	239	4221	13342	8124	2170	3048	7226	12550	61%	23%	15%	3816	38%	Central	Central	452	508	2921	2006	1	10	1	28504	NA	51113	51113					31370	17%		1	33	1806.55	17627352.15	$9,757	$1	0	51113	51113	4286691.8%	1	7489	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	6169	8800	7169	34.5%	27	Madison	24.4%	17%	$28,504	26081	24%	17%	$28,504	$32,893	63%	$564	564	32893	$28,504	437046	9	Rappahannock-Rapidan	13287		8027				12%	10961	1544	13150	Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area	2934	303	Virginia	5299	138	5898	13342	13342	13287		10025		6%	10%		20%	1858	2161	33.8%	$55,577.47	15%	6	Area VI	2010	1/1/2010 12:00:00 AM
2010	Thomas Jefferson	Louisa	3514	31%	78%	2377	494	2%	454.935	2902	13253	1199	10367	32248	20503	4501	7244	18303	30329	64%	19%	16%	9148	37%	Central	Central	1345	1128	7227	2006	1	7	0	47895	NA	51109	51109					31370	16%		1	34	4541.4	46149816.01	$10,162	$1	5	51109	51109	4286691.8%	1	21185	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	17085	23775	17858	32.7%	31	Louisa	30.7%	16%	$47,895	27562	31%	16%	$47,895	$35,923	106%	$635	635	35923	$47,895	1198364	10	Thomas Jefferson	33359		21136				10%	28395	3259	33055	Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area	7258	568	Virginia	12240	249	15742	32248	32248	33359		24630		8%	8%		16%	4052	4620	33.8%	$55,577.47	15%	6	Area VI	2010	1/1/2010 12:00:00 AM
2010	Rappahannock Rapidan	Orange	3973	34%	78%	2863	336	2%	677.402	2262	12669	1048	9937	32730	19425	5730	7575	17277	30791	59%	23%	13%	8815	36%	Central	Central	1278	1120	7559	2006	1	9	1	34331	NA	51137	51137					31370	15%		1	33	5051.24	44270265.66	$8,764	$1	0	51137	51137	4286691.8%	1	18764	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	15585	22556	15456	34.5%	27	Orange	33.5%	15%	$34,331	26447	34%	15%	$34,331	$36,955	76%	$560	560	36955	$34,331	1237264	9	Rappahannock-Rapidan	33480		19424				11%	26990	3517	32885	Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area	7567	596	Virginia	13107	298	14364	32730	32730	33480		24740		8%	8%		16%	3839	4435	33.8%	$55,577.47	15%	6	Area VI	2010	1/1/2010 12:00:00 AM
2010	Three Rivers	King William	1840	30%	85%	1323	124	1%	72.655	782	5909	336	5049	15509	9817	1774	3918	8637	14531	63%	21%	9%	5115	45%	Eastern	Eastern	645	429	3907	2006	5	11	1	37368	NA	51101	51101					40060	11%		1	22	2919.98	29558820.78	$10,123	$1	3	51101	51101	4299493.9%	5	8705	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	8342	11974	8656	28.0%	32	King William	30.2%	11%	$37,368	26853	30%	11%	$37,368	$36,644	82%	$545	545	36644	$37,368	585797	18	Middle Peninsula	15986		10055				8%	13957	1230	15892	Metro - Counties in metro areas of 1 million population or more	3903	271	Virginia	5404	183	6327	15509	15509	15986		11480		7%	7%		14%	1713	1984	33.8%	$55,577.47	15%	13	Area XIII	2010	1/1/2010 12:00:00 AM
2010	Eastern Shore	Accomack	3247	28%	74%	1753	1157	5%	1700.876	3137	14085	1084	10436	34066	20462	6198	7406	18019	32092	60%	18%	17%	9637	38%	Eastern	Eastern	1326	1956	6810	2006	2	11	1	37187	NA	51001	51001					31370	29%		2	13	4835.64	50267852.17	$10,395	$1	3	51001	51001	5051169.8%	5	35725	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	14435	20706	16805	29.8%	11	Accomack	28.4%	29%	$37,187	22766	28%	29%	$37,187	$33,711	82%	$1,077	1077	33711	$37,187	1117986	22	Accomack-Northampton	33164		19888				20%	26753	6722	32808	Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area	6863	592	Virginia	18061	360	20928	34066	34066	33164		25365		8%	9%		23%	5454	6046	33.8%	$55,577.47	15%	13	Area XIII	2010	1/1/2010 12:00:00 AM
2010	Eastern Shore	Northampton	1265	34%	71%	700	490	3%	403.784	1056	5088	538	3617	12572	7250	2732	2590	6331	11876	58%	20%	17%	3848	40%	Eastern	Eastern	536	760	2406	2006	2	13	1	33435	NA	51131	51131					31370	32%		2	13	1689.34	19354087.32	$11,457	$1	0	51131	51131	5051169.8%	5	15762	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	5406	7576	6335	29.8%	11	Northampton	34.0%	32%	$33,435	23233	34%	32%	$33,435	$32,316	74%	$1,272	1272	32316	$33,435	400325	22	Accomack-Northampton	12388		7081				19%	9489	2258	12098	Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area	2407	237	Virginia	6998	165	7296	12572	12572	12388		9590		8%	10%		20%	1675	1912	33.8%	$55,577.47	15%	13	Area XIII	2010	1/1/2010 12:00:00 AM
2010	Three Rivers	King and Queen	320	29%	80%	575	91	2%	110.738	628	2815	157	2263	6926	4330	1147	1449	3631	6514	63%	9%	17%	2436	45%	Eastern	Eastern	290	276	1421	2006	5	6	0	38234	NA	51097	51097					31370	19%		1	22	730.07	9934018.32	$13,607	$1	0	51097	51097	4299493.9%	5	5160	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	3399	4690	3592	28.0%	32	King and Queen	29.2%	19%	$38,234	21777	29%	19%	$38,234	$32,801	84%	$740	740	32801	$38,234	228590	18	Middle Peninsula	6969		4352				13%	5777	888	6942	Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area	1425	134	Virginia	1840	44	3352	6926	6926	6969		5380		8%	9%		19%	953	1087	33.8%	$55,577.47	15%	13	Area XIII	2010	1/1/2010 12:00:00 AM
2010	Three Rivers	Middlesex	1588	25%	81%	638	138	1%	125.772	646	4303	299	3489	10831	6405	2633	1793	5767	10481	59%	28%	11%	3741	42%	Eastern	Eastern	371	387	1732	2006	5	6	0	33125	NA	51119	51119					31370	22%		2	22	1188.94	12395975.31	$10,426	$1	5	51119	51119	4299493.9%	5	7197	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	4962	6536	5160	28.0%	32	Middlesex	25.0%	22%	$33,125	28539	25%	22%	$33,125	$38,826	73%	$656	656	38826	$33,125	425924	18	Middle Peninsula	10970		6214				14%	7958	1442	10597	Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area	1744	170	Virginia	5367	67	7065	10831	10831	10970		8955		7%	10%		18%	1252	1422	33.8%	$55,577.47	15%	13	Area XIII	2010	1/1/2010 12:00:00 AM
2010	Three Rivers	Lancaster	1395	29%	77%	976	137	1%	65.994	819	5421	462	4180	11478	6102	3471	1905	5562	10999	53%	25%	15%	4506	48%	Eastern	Eastern	546	470	1801	2006	5	4	0	33403	NA	51103	51103					31370	26%		2	22	1311.68	15044064.09	$11,469	$1	5	51103	51103	4299493.9%	5	8605	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	4759	6395	5570	28.0%	32	Lancaster	29.1%	26%	$33,403	29275	29%	26%	$33,403	$43,868	74%	$757	757	43868	$33,403	498818	17	Northern Neck	11371		6001				14%	7809	1557	11193	Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area	1808	172	Virginia	7124	49	7279	11478	11478	11371		9460		10%	10%		18%	1241	1413	33.8%	$55,577.47	15%	13	Area XIII	2010	1/1/2010 12:00:00 AM
2010	Three Rivers	Northumberland	1309	28%	84%	989	254	0%	35.634	818	5478	291	4619	12419	6764	3549	2106	6153	11878	54%	21%	13%	4909	48%	Eastern	Eastern	533	558	1979	2006	5	12	1	29317	NA	51133	51133					31370	28%		2	22	1372.7	13852319.58	$10,091	$1	5	51133	51133	4299493.9%	5	8841	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	5170	6938	6150	28.0%	32	Northumberland	28.0%	28%	$29,317	28646	28%	28%	$29,317	$35,934	65%	$716	716	35934	$29,317	443713	17	Northern Neck	12348		6648				14%	8637	1766	12295	Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area	1988	220	Virginia	4410	144	8944	12419	12419	12348		10195		9%	11%		20%	1479	1699	33.8%	$55,577.47	15%	13	Area XIII	2010	1/1/2010 12:00:00 AM
2010	Three Rivers	Richmond	545	25%	80%	408	145	3%	230.932	1155	3007	194	2402	9328	5974	1700	1654	5133	8882	64%	11%	23%	2222	30%	Eastern	Eastern	308	365	1534	2006	5	11	1	36756	NA	51159	51159					31370	24%		2	22	1212.08	12782095.02	$10,546	$1	4	51159	51159	4299493.9%	5	6929	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	3368	4768	4366	28.0%	32	Richmond	24.8%	24%	$36,756	19965	25%	24%	$36,756	$26,386	81%	$748	748	26386	$36,756	244545	17	Northern Neck	9268		4365				19%	5916	1377	7435	Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area	1550	150	Virginia	3825	103	3803	9328	9328	9268		7410		7%	10%		19%	998	1148	33.8%	$55,577.47	15%	13	Area XIII	2010	1/1/2010 12:00:00 AM
2010	Three Rivers	Essex	956	30%	75%	848	201	1%	133.796	942	4466	284	3341	10901	6687	1872	2342	5748	10292	61%	17%	16%	2909	35%	Eastern	Eastern	519	562	2383	2006	5	14	1	32307	NA	51057	51057					31370	24%		2	22	1611.4	16869387.54	$10,469	$1	5	51057	51057	4299493.9%	5	11245	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	5463	7740	5715	28.0%	32	Essex	29.8%	24%	$32,307	23795	30%	24%	$32,307	$33,503	71%	$1,009	1009	33503	$32,307	373490	18	Middle Peninsula	11148		6812				14%	9251	1553	11017	Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area	2438	161	Virginia	5483	161	5662	10901	10901	11148		8405		9%	7%		16%	1350	1511	33.8%	$55,577.47	15%	13	Area XIII	2010	1/1/2010 12:00:00 AM
2010	Three Rivers	Westmoreland	1436	26%	76%	1011	339	3%	410.35	1829	7135	511	5433	17237	10205	3476	3556	9018	16414	59%	16%	20%	4356	33%	Eastern	Eastern	742	897	3421	2006	5	7	0	26937	NA	51193	51193					31370	26%		2	22	2305.61	24224511.5	$10,507	$1	5	51193	51193	4299493.9%	5	15018	Information on Bureau of Economic Analysis Regions and Virginia School Divisions (or why some fields may be empty)	Instructions	8038	11179	9178	28.0%	32	Westmoreland	26.1%	26%	$26,937	27501	26%	26%	$26,937	$33,415	59%	$861	861	33415	$26,937	583085	17	Northern Neck	17450		10373				15%	13814	2555	17356	Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area	3441	300	Virginia	5906	128	10430	17237	17237	17450		13250		8%	9%		19%	2335	2635	33.8%	$55,577.47	15%	13	Area XIII	2010	1/1/2010 12:00:00 AM
